Product Name,Department Name,Warehouse_Zone,Aisle,Rack,Bin_ID,Max_Capacity_Units,Current_Inventory_Units,Utilization_Pct,Total_Picks_YTD
Nike Dri-FIT Crew Sock 6 Pack,Fitness,Zone A,15,5,Zone A-A15-R5,1695,838,0.4943952802359882,308
Nike Women's Legend V-Neck T-Shirt,Fitness,Zone A,13,4,Zone A-A13-R4,1743,1136,0.6517498565691336,279
Garmin Approach S4 Golf GPS Watch,Outdoors,Zone E,9,2,Zone E-A9-R2,657,92,0.1400304414003044,36
insta-bed Neverflat Air Mattress,Fan Shop,Zone F,15,4,Zone F-A15-R4,976,885,0.9067622950819673,60
Nike Men's Kobe IX Elite Low Basketball Shoe,Golf,Zone C,13,3,Zone C-A13-R3,1569,1339,0.8534098151688974,63
Adult dog supplies,Pet Shop,Zone J,1,3,Zone J-A1-R3,1896,610,0.3217299578059072,492
First aid kit,Health and Beauty ,Zone K,7,1,Zone K-A7-R1,1017,114,0.11209439528023599,362
Garmin Approach S3 Golf GPS Watch,Outdoors,Zone E,9,5,Zone E-A9-R5,598,534,0.8929765886287625,77
Rock music,Discs Shop,Zone I,1,4,Zone I-A1-R4,1560,820,0.5256410256410257,434
Fighting video games,Discs Shop,Zone I,12,2,Zone I-A12-R2,779,435,0.558408215661104,838
Fitbit The One Wireless Activity & Sleep Trac,Outdoors,Zone E,8,3,Zone E-A8-R3,1872,1275,0.6810897435897436,62
Stiga Master Series ST3100 Competition Indoor,Fitness,Zone A,11,1,Zone A-A11-R1,996,620,0.6224899598393574,27
Diamondback Girls' Clarity 24 Hybrid Bike 201,Fitness,Zone A,19,1,Zone A-A19-R1,801,722,0.9013732833957553,28
adidas Brazuca 2014 Official Match Ball,Fitness,Zone A,17,4,Zone A-A17-R4,680,613,0.9014705882352941,65
GolfBuddy VT3 GPS Watch,Outdoors,Zone E,8,3,Zone E-A8-R3,1106,925,0.8363471971066908,59
Bushnell Pro X7 Jolt Slope Rangefinder,Outdoors,Zone E,3,5,Zone E-A3-R5,1622,1039,0.6405672009864365,11
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Footwear,Zone D,3,3,Zone D-A3-R3,1199,936,0.780650542118432,64
Nike Men's Fingertrap Max Training Shoe,Fitness,Zone A,1,4,Zone A-A1-R4,1492,1007,0.6749329758713136,64
Bowflex SelectTech 1090 Dumbbells,Footwear,Zone D,5,4,Zone D-A5-R4,1639,962,0.5869432580841977,10
SOLE E35 Elliptical,Footwear,Zone D,10,3,Zone D-A10-R3,690,144,0.20869565217391303,15
Hirzl Women's Hybrid Golf Glove,Outdoors,Zone E,7,4,Zone E-A7-R4,752,593,0.788563829787234,311
Hirzl Men's Hybrid Golf Glove,Outdoors,Zone E,9,3,Zone E-A9-R3,1480,1180,0.7972972972972973,282
TaylorMade 2014 Purelite Stand Bag,Outdoors,Zone E,7,2,Zone E-A7-R2,1427,901,0.6313945339873861,65
Bag Boy Beverage Holder,Outdoors,Zone E,9,3,Zone E-A9-R3,1684,1342,0.7969121140142518,279
Bag Boy M330 Push Cart,Outdoors,Zone E,8,3,Zone E-A8-R3,1779,1163,0.6537380550871276,69
Clicgear 8.0 Shoe Brush,Outdoors,Zone E,12,4,Zone E-A12-R4,1846,508,0.27518959913326113,285
Titleist Small Wheeled Travel Cover,Outdoors,Zone E,2,4,Zone E-A2-R4,627,208,0.3317384370015949,54
Clicgear Rovic Cooler Bag,Outdoors,Zone E,1,1,Zone E-A1-R1,517,146,0.28239845261121854,284
Titleist Club Glove Travel Cover,Outdoors,Zone E,16,1,Zone E-A16-R1,1065,448,0.42065727699530514,34
Ogio Race Golf Shoes,Outdoors,Zone E,5,2,Zone E-A5-R2,1069,142,0.13283442469597756,61
LIJA Women's Argyle Golf Polo,Outdoors,Zone E,3,1,Zone E-A3-R1,1846,1154,0.6251354279523293,66
LIJA Women's Eyelet Sleeveless Golf Polo,Outdoors,Zone E,12,3,Zone E-A12-R3,1185,457,0.3856540084388186,309
LIJA Women's Button Golf Dress,Outdoors,Zone E,8,4,Zone E-A8-R4,1125,739,0.6568888888888889,76
LIJA Women's Mid-Length Panel Golf Shorts,Outdoors,Zone E,3,1,Zone E-A3-R1,1811,774,0.4273881833241303,73
TaylorMade Women's RBZ SL Rescue,Outdoors,Zone E,1,1,Zone E-A1-R1,1353,919,0.6792313377679231,68
Cleveland Golf Women's 588 RTX CB Satin Chrom,Outdoors,Zone E,3,2,Zone E-A3-R2,1461,569,0.3894592744695414,70
Top Flite Women's 2014 XL Hybrid,Outdoors,Zone E,5,2,Zone E-A5-R2,654,210,0.3211009174311927,303
MDGolf Pittsburgh Penguins Putter,Outdoors,Zone E,15,3,Zone E-A15-R3,989,515,0.5207280080889788,53
TaylorMade White Smoke IN-12 Putter,Outdoors,Zone E,14,4,Zone E-A14-R4,1909,1315,0.6888423258250392,63
Cleveland Golf Collegiate My Custom Wedge 588,Outdoors,Zone E,3,2,Zone E-A3-R2,1284,508,0.3956386292834891,65
Merrell Men's All Out Flash Trail Running Sho,Outdoors,Zone E,1,1,Zone E-A1-R1,1627,1458,0.8961278426551936,85
Merrell Women's Grassbow Sport Waterproof Hik,Outdoors,Zone E,5,4,Zone E-A5-R4,1916,255,0.13308977035490605,58
Merrell Women's Siren Mid Waterproof Hiking B,Outdoors,Zone E,14,4,Zone E-A14-R4,745,339,0.45503355704697984,70
Merrell Women's Grassbow Sport Hiking Shoe,Outdoors,Zone E,7,1,Zone E-A7-R1,1699,1567,0.922307239552678,70
Toys ,Fan Shop,Zone F,9,2,Zone F-A9-R2,1562,883,0.5653008962868118,529
Pelican Sunstream 100 Kayak,Fan Shop,Zone F,15,1,Zone F-A15-R1,1258,578,0.4594594594594595,15500
Pelican Maverick 100X Kayak,Fan Shop,Zone F,15,4,Zone F-A15-R4,1037,604,0.5824493731918997,40
O'Brien Men's Neoprene Life Vest,Fan Shop,Zone F,10,5,Zone F-A10-R5,1420,837,0.5894366197183099,19298
