Order Id,order date (DateOrders),Days for shipping (real),Days for shipment (scheduled),Late_delivery_risk,Delivery Status,Cycle_Time_Variance,Delivery_Category
48434,12/8/2016 0:14,5,2,1,Late delivery,3,2+ Days Late
12827,7/7/2015 5:31,3,2,1,Late delivery,1,1 Day Late
63936,7/22/2017 7:16,2,2,0,Shipping on time,0,On-Time / Early
65030,8/7/2017 6:33,6,2,1,Late delivery,4,2+ Days Late
18108,9/22/2015 7:41,4,2,1,Late delivery,2,2+ Days Late
62571,7/2/2017 9:03,2,2,0,Shipping on time,0,On-Time / Early
17162,9/8/2015 12:15,3,2,1,Late delivery,1,1 Day Late
65922,8/20/2017 7:03,3,2,1,Late delivery,1,1 Day Late
64813,8/4/2017 2:31,4,2,1,Late delivery,2,2+ Days Late
67892,9/18/2017 1:14,3,2,1,Late delivery,1,1 Day Late
12525,7/2/2015 19:42,6,2,1,Late delivery,4,2+ Days Late
5895,3/28/2015 0:55,6,2,1,Late delivery,4,2+ Days Late
56359,4/2/2017 16:43,5,2,1,Late delivery,3,2+ Days Late
58613,5/5/2017 14:23,4,2,1,Late delivery,2,2+ Days Late
7824,4/25/2015 4:44,5,2,1,Late delivery,3,2+ Days Late
7814,4/25/2015 1:14,5,2,1,Late delivery,3,2+ Days Late
60807,6/6/2017 15:03,3,2,1,Late delivery,1,1 Day Late
53413,2/18/2017 16:36,4,2,1,Late delivery,2,2+ Days Late
7888,4/26/2015 3:10,4,2,1,Late delivery,2,2+ Days Late
6783,4/10/2015 0:02,4,2,1,Late delivery,2,2+ Days Late
56973,4/11/2017 15:49,4,2,1,Late delivery,2,2+ Days Late
55155,3/16/2017 2:54,6,2,1,Late delivery,4,2+ Days Late
5991,3/29/2015 10:33,2,2,0,Shipping on time,0,On-Time / Early
2263,2/3/2015 0:28,4,2,1,Late delivery,2,2+ Days Late
53403,2/18/2017 13:05,4,2,1,Late delivery,2,2+ Days Late
51298,1/18/2017 19:37,4,2,1,Late delivery,2,2+ Days Late
4919,3/13/2015 18:59,5,4,1,Late delivery,1,1 Day Late
52640,2/7/2017 9:47,6,4,1,Late delivery,2,2+ Days Late
6358,4/3/2015 19:08,4,4,0,Shipping on time,0,On-Time / Early
57106,4/13/2017 14:25,2,4,0,Advance shipping,-2,On-Time / Early
6245,4/2/2015 3:33,6,4,1,Late delivery,2,2+ Days Late
52166,1/31/2017 11:43,2,4,0,Advance shipping,-2,On-Time / Early
56172,3/30/2017 23:12,3,4,0,Advance shipping,-1,On-Time / Early
55829,3/25/2017 23:02,5,4,1,Late delivery,1,1 Day Late
52478,2/5/2017 1:01,4,4,0,Shipping on time,0,On-Time / Early
57242,4/15/2017 14:04,3,4,0,Advance shipping,-1,On-Time / Early
3137,2/15/2015 18:40,3,4,0,Advance shipping,-1,On-Time / Early
60127,5/27/2017 16:48,3,4,0,Advance shipping,-1,On-Time / Early
3828,2/25/2015 20:46,4,4,0,Shipping on time,0,On-Time / Early
60386,5/31/2017 11:33,2,4,0,Advance shipping,-2,On-Time / Early
973,1/15/2015 4:32,4,4,0,Shipping on time,0,On-Time / Early
57999,4/26/2017 15:16,5,4,1,Late delivery,1,1 Day Late
54585,3/7/2017 19:12,6,4,1,Late delivery,2,2+ Days Late
57598,4/20/2017 18:47,4,4,0,Shipping on time,0,On-Time / Early
54274,3/3/2017 6:14,5,4,1,Late delivery,1,1 Day Late
60673,6/4/2017 16:06,4,4,0,Shipping on time,0,On-Time / Early
59387,5/16/2017 21:33,3,4,0,Advance shipping,-1,On-Time / Early
10007,5/27/2015 1:32,3,4,0,Advance shipping,-1,On-Time / Early
55984,3/28/2017 5:20,5,4,1,Late delivery,1,1 Day Late
58375,5/2/2017 3:00,6,4,1,Late delivery,2,2+ Days Late
56448,4/3/2017 23:53,4,4,0,Shipping on time,0,On-Time / Early
8221,4/30/2015 23:49,2,4,0,Advance shipping,-2,On-Time / Early
58034,4/27/2017 3:32,5,4,1,Late delivery,1,1 Day Late
2203,2/2/2015 3:27,4,4,0,Shipping on time,0,On-Time / Early
53069,2/13/2017 16:05,5,4,1,Late delivery,1,1 Day Late
60146,5/27/2017 23:28,2,4,0,Advance shipping,-2,On-Time / Early
55409,3/19/2017 19:53,5,4,1,Late delivery,1,1 Day Late
8678,5/7/2015 15:56,4,4,0,Shipping on time,0,On-Time / Early
7980,4/27/2015 11:23,6,4,1,Late delivery,2,2+ Days Late
57185,4/14/2017 18:06,6,4,1,Late delivery,2,2+ Days Late
8636,5/7/2015 1:13,2,4,0,Advance shipping,-2,On-Time / Early
61192,6/12/2017 5:55,3,4,0,Advance shipping,-1,On-Time / Early
55876,3/26/2017 15:30,2,4,0,Advance shipping,-2,On-Time / Early
53331,2/17/2017 11:52,2,4,0,Advance shipping,-2,On-Time / Early
51725,1/25/2017 1:13,6,4,1,Late delivery,2,2+ Days Late
52562,2/6/2017 6:27,3,4,0,Advance shipping,-1,On-Time / Early
59754,5/22/2017 6:08,5,4,1,Late delivery,1,1 Day Late
53574,2/21/2017 1:00,5,4,1,Late delivery,1,1 Day Late
399,1/6/2015 19:26,5,4,1,Late delivery,1,1 Day Late
51050,1/15/2017 4:44,6,2,1,Late delivery,4,2+ Days Late
45680,10/28/2016 19:23,6,2,1,Late delivery,4,2+ Days Late
42992,9/19/2016 13:39,3,2,1,Late delivery,1,1 Day Late
41304,8/25/2016 22:16,5,2,1,Late delivery,3,2+ Days Late
44253,10/7/2016 23:26,4,2,1,Late delivery,2,2+ Days Late
46098,11/3/2016 21:49,4,2,1,Late delivery,2,2+ Days Late
71077,11/3/2017 13:05,3,2,1,Late delivery,1,1 Day Late
69703,10/14/2017 11:42,4,2,1,Late delivery,2,2+ Days Late
71112,11/4/2017 1:21,3,2,1,Late delivery,1,1 Day Late
69810,10/16/2017 1:12,6,2,1,Late delivery,4,2+ Days Late
71092,11/3/2017 18:20,3,2,1,Late delivery,1,1 Day Late
69610,10/13/2017 3:08,6,2,1,Late delivery,4,2+ Days Late
71000,11/2/2017 10:06,6,2,1,Late delivery,4,2+ Days Late
70734,10/29/2017 12:55,5,2,1,Late delivery,3,2+ Days Late
69626,10/13/2017 8:44,2,2,0,Shipping on time,0,On-Time / Early
69482,10/11/2017 6:17,3,2,1,Late delivery,1,1 Day Late
70769,10/30/2017 1:10,5,2,1,Late delivery,3,2+ Days Late
69643,10/13/2017 14:41,4,2,1,Late delivery,2,2+ Days Late
71051,11/3/2017 3:58,2,2,0,Shipping on time,0,On-Time / Early
69408,10/10/2017 4:21,4,2,1,Late delivery,2,2+ Days Late
71123,11/4/2017 5:12,4,2,1,Late delivery,2,2+ Days Late
70534,10/26/2017 14:51,5,2,1,Late delivery,3,2+ Days Late
69641,10/13/2017 13:59,2,2,0,Shipping on time,0,On-Time / Early
70960,11/1/2017 20:05,6,2,1,Late delivery,4,2+ Days Late
69908,10/17/2017 11:32,4,2,1,Late delivery,2,2+ Days Late
70957,11/1/2017 19:02,3,2,1,Late delivery,1,1 Day Late
69637,10/13/2017 12:35,3,2,1,Late delivery,1,1 Day Late
70955,11/1/2017 18:20,6,2,1,Late delivery,4,2+ Days Late
70919,11/1/2017 5:44,5,2,1,Late delivery,3,2+ Days Late
71009,11/2/2017 13:15,5,2,1,Late delivery,3,2+ Days Late
69653,10/13/2017 18:11,4,2,1,Late delivery,2,2+ Days Late
69527,10/11/2017 22:03,3,2,1,Late delivery,1,1 Day Late
71080,11/3/2017 14:08,6,2,1,Late delivery,4,2+ Days Late
70544,10/26/2017 18:21,5,2,1,Late delivery,3,2+ Days Late
69471,10/11/2017 2:26,2,2,0,Shipping on time,0,On-Time / Early
68879,10/2/2017 11:01,5,2,1,Late delivery,3,2+ Days Late
67214,9/8/2017 3:42,5,2,1,Late delivery,3,2+ Days Late
17810,9/17/2015 23:17,6,2,1,Late delivery,4,2+ Days Late
18793,10/2/2015 7:40,4,2,1,Late delivery,2,2+ Days Late
65109,8/8/2017 10:13,5,2,1,Late delivery,3,2+ Days Late
15673,8/17/2015 18:35,4,2,1,Late delivery,2,2+ Days Late
18183,9/23/2015 9:57,4,2,1,Late delivery,2,2+ Days Late
20234,10/23/2015 8:31,5,2,1,Late delivery,3,2+ Days Late
13139,7/11/2015 18:49,5,2,1,Late delivery,3,2+ Days Late
33824,5/8/2016 17:42,5,4,0,Shipping canceled,1,1 Day Late
31364,4/2/2016 19:51,5,4,0,Shipping canceled,1,1 Day Late
40495,8/14/2016 2:51,6,4,0,Shipping canceled,2,2+ Days Late
34506,5/18/2016 16:38,2,4,0,Shipping canceled,-2,On-Time / Early
33607,5/5/2016 13:40,3,4,0,Shipping canceled,-1,On-Time / Early
32617,4/21/2016 2:50,3,4,0,Shipping canceled,-1,On-Time / Early
37496,7/1/2016 8:10,2,4,0,Shipping canceled,-2,On-Time / Early
49075,12/17/2016 8:48,6,4,0,Shipping canceled,2,2+ Days Late
41623,8/30/2016 14:02,4,4,0,Shipping canceled,0,On-Time / Early
39271,7/27/2016 6:01,2,4,0,Shipping canceled,-2,On-Time / Early
38598,7/17/2016 10:14,4,4,0,Shipping canceled,0,On-Time / Early
37845,7/6/2016 10:26,6,4,0,Shipping canceled,2,2+ Days Late
42331,9/9/2016 22:05,2,4,0,Shipping canceled,-2,On-Time / Early
41345,8/26/2016 12:38,6,4,0,Shipping canceled,2,2+ Days Late
51168,1/16/2017 22:04,4,4,0,Shipping canceled,0,On-Time / Early
43599,9/28/2016 10:19,5,4,0,Shipping canceled,1,1 Day Late
41901,9/3/2016 15:26,2,4,0,Shipping canceled,-2,On-Time / Early
42751,9/16/2016 1:13,2,4,0,Advance shipping,-2,On-Time / Early
45088,10/20/2016 3:59,4,4,0,Shipping on time,0,On-Time / Early
50489,1/7/2017 0:11,5,4,1,Late delivery,1,1 Day Late
44409,10/10/2016 6:06,5,4,1,Late delivery,1,1 Day Late
42101,9/6/2016 13:30,2,4,0,Advance shipping,-2,On-Time / Early
50424,1/6/2017 1:25,5,4,1,Late delivery,1,1 Day Late
49825,12/28/2016 7:33,6,4,1,Late delivery,2,2+ Days Late
41294,8/25/2016 18:46,5,4,1,Late delivery,1,1 Day Late
42023,9/5/2016 10:10,4,4,0,Shipping on time,0,On-Time / Early
47774,11/28/2016 9:00,5,4,1,Late delivery,1,1 Day Late
41827,9/2/2016 13:30,3,4,0,Advance shipping,-1,On-Time / Early
47193,11/19/2016 21:27,4,4,0,Shipping on time,0,On-Time / Early
42626,9/14/2016 5:26,2,4,0,Advance shipping,-2,On-Time / Early
46199,11/5/2016 9:13,5,4,1,Late delivery,1,1 Day Late
48468,12/8/2016 12:08,4,4,0,Shipping on time,0,On-Time / Early
51009,1/14/2017 14:22,5,4,1,Late delivery,1,1 Day Late
46229,11/5/2016 19:43,5,4,1,Late delivery,1,1 Day Late
42882,9/17/2016 23:07,3,4,0,Advance shipping,-1,On-Time / Early
46827,11/14/2016 13:14,3,4,0,Advance shipping,-1,On-Time / Early
48684,12/11/2016 15:49,5,4,1,Late delivery,1,1 Day Late
46416,11/8/2016 13:14,2,4,0,Advance shipping,-2,On-Time / Early
47343,11/22/2016 2:00,4,4,0,Shipping on time,0,On-Time / Early
41686,8/31/2016 12:06,2,4,0,Advance shipping,-2,On-Time / Early
41896,9/3/2016 13:41,2,4,0,Advance shipping,-2,On-Time / Early
28168,2/16/2016 4:09,4,4,0,Shipping on time,0,On-Time / Early
24992,12/31/2015 19:27,3,4,0,Advance shipping,-1,On-Time / Early
30851,3/26/2016 8:07,2,4,0,Advance shipping,-2,On-Time / Early
25074,1/2/2016 0:11,5,4,1,Late delivery,1,1 Day Late
76870,1/27/2018 2:38,6,4,1,Late delivery,2,2+ Days Late
25163,1/3/2016 7:22,4,4,0,Shipping on time,0,On-Time / Early
28036,2/14/2016 5:54,2,4,0,Advance shipping,-2,On-Time / Early
22679,11/28/2015 1:06,5,4,1,Late delivery,1,1 Day Late
23610,12/11/2015 15:17,6,4,1,Late delivery,2,2+ Days Late
42828,9/17/2016 4:12,4,4,0,Shipping on time,0,On-Time / Early
48713,12/12/2016 1:59,4,4,0,Shipping on time,0,On-Time / Early
45668,10/28/2016 15:11,4,4,0,Shipping on time,0,On-Time / Early
74796,12/27/2017 20:01,2,4,0,Advance shipping,-2,On-Time / Early
27918,2/12/2016 12:34,4,4,0,Shipping on time,0,On-Time / Early
30097,3/15/2016 7:58,3,4,0,Advance shipping,-1,On-Time / Early
30966,3/28/2016 0:25,2,4,0,Advance shipping,-2,On-Time / Early
30063,3/14/2016 20:03,4,4,0,Shipping on time,0,On-Time / Early
22019,11/18/2015 9:53,5,4,1,Late delivery,1,1 Day Late
24230,12/20/2015 16:29,6,4,1,Late delivery,2,2+ Days Late
42353,9/10/2016 5:47,4,4,0,Shipping on time,0,On-Time / Early
42134,9/7/2016 1:04,5,4,1,Late delivery,1,1 Day Late
21522,11/11/2015 3:45,3,4,0,Advance shipping,-1,On-Time / Early
23767,12/13/2015 22:17,3,4,0,Advance shipping,-1,On-Time / Early
25433,1/7/2016 5:57,4,4,0,Shipping on time,0,On-Time / Early
73893,12/14/2017 15:39,4,4,0,Shipping on time,0,On-Time / Early
30085,3/15/2016 3:45,6,4,1,Late delivery,2,2+ Days Late
30172,3/16/2016 10:14,3,4,0,Advance shipping,-1,On-Time / Early
27478,2/6/2016 2:25,4,4,0,Shipping on time,0,On-Time / Early
76976,1/28/2018 15:46,2,4,0,Advance shipping,-2,On-Time / Early
24063,12/18/2015 5:59,4,4,0,Shipping on time,0,On-Time / Early
51209,1/17/2017 12:26,5,4,1,Late delivery,1,1 Day Late
73839,12/13/2017 20:44,5,4,1,Late delivery,1,1 Day Late
74723,12/26/2017 18:26,4,4,0,Shipping on time,0,On-Time / Early
26821,1/27/2016 12:14,2,4,0,Advance shipping,-2,On-Time / Early
77102,1/30/2018 11:54,3,4,0,Advance shipping,-1,On-Time / Early
41608,8/30/2016 8:47,4,4,0,Shipping on time,0,On-Time / Early
47009,11/17/2016 4:59,5,4,1,Late delivery,1,1 Day Late
49916,12/29/2016 15:26,2,4,0,Advance shipping,-2,On-Time / Early
29746,3/10/2016 4:59,2,4,0,Advance shipping,-2,On-Time / Early
72533,11/24/2017 19:11,4,4,0,Shipping on time,0,On-Time / Early
48608,12/10/2016 13:11,4,4,0,Shipping on time,0,On-Time / Early
45506,10/26/2016 6:25,2,4,0,Advance shipping,-2,On-Time / Early
45027,10/19/2016 6:36,3,4,0,Advance shipping,-1,On-Time / Early
46308,11/6/2016 23:24,4,4,0,Shipping on time,0,On-Time / Early
43685,9/29/2016 16:27,6,4,1,Late delivery,2,2+ Days Late
41893,9/3/2016 12:38,4,4,0,Shipping on time,0,On-Time / Early
46339,11/7/2016 10:15,5,4,1,Late delivery,1,1 Day Late
46667,11/12/2016 5:10,3,4,0,Advance shipping,-1,On-Time / Early
47647,11/26/2016 12:30,3,4,0,Advance shipping,-1,On-Time / Early
48565,12/9/2016 22:07,6,4,1,Late delivery,2,2+ Days Late
43889,10/2/2016 15:55,5,4,1,Late delivery,1,1 Day Late
45138,10/20/2016 21:30,4,4,0,Shipping on time,0,On-Time / Early
44160,10/6/2016 14:51,6,4,1,Late delivery,2,2+ Days Late
49214,12/19/2016 9:30,5,4,1,Late delivery,1,1 Day Late
41825,9/2/2016 12:48,6,4,1,Late delivery,2,2+ Days Late
44504,10/11/2016 15:22,5,4,1,Late delivery,1,1 Day Late
44496,10/11/2016 12:34,2,4,0,Advance shipping,-2,On-Time / Early
45559,10/27/2016 0:59,5,4,1,Late delivery,1,1 Day Late
44074,10/5/2016 8:44,5,4,1,Late delivery,1,1 Day Late
49857,12/28/2016 18:46,3,4,0,Advance shipping,-1,On-Time / Early
41786,9/1/2016 23:08,2,4,0,Advance shipping,-2,On-Time / Early
48042,12/2/2016 6:54,3,4,0,Advance shipping,-1,On-Time / Early
44301,10/8/2016 16:15,2,4,0,Advance shipping,-2,On-Time / Early
41591,8/30/2016 2:49,2,4,0,Advance shipping,-2,On-Time / Early
44981,10/18/2016 14:29,2,4,0,Advance shipping,-2,On-Time / Early
41545,8/29/2016 10:42,6,4,1,Late delivery,2,2+ Days Late
49910,12/29/2016 13:20,6,4,1,Late delivery,2,2+ Days Late
19590,10/13/2015 22:53,6,4,1,Late delivery,2,2+ Days Late
43650,9/29/2016 4:11,6,4,1,Late delivery,2,2+ Days Late
15202,8/10/2015 21:35,3,4,0,Advance shipping,-1,On-Time / Early
15462,8/14/2015 16:40,3,4,0,Advance shipping,-1,On-Time / Early
15155,8/10/2015 5:07,6,4,1,Late delivery,2,2+ Days Late
64451,7/29/2017 19:42,2,4,0,Advance shipping,-2,On-Time / Early
67028,9/5/2017 10:32,4,4,0,Shipping on time,0,On-Time / Early
62336,6/28/2017 22:43,2,4,0,Advance shipping,-2,On-Time / Early
11334,6/15/2015 10:27,5,4,1,Late delivery,1,1 Day Late
62885,7/6/2017 23:03,6,4,1,Late delivery,2,2+ Days Late
66998,9/5/2017 0:02,4,4,0,Shipping on time,0,On-Time / Early
47002,11/17/2016 2:32,3,4,0,Advance shipping,-1,On-Time / Early
63445,7/15/2017 3:15,6,4,1,Late delivery,2,2+ Days Late
67566,9/13/2017 7:01,2,4,0,Advance shipping,-2,On-Time / Early
18884,10/3/2015 15:33,5,4,1,Late delivery,1,1 Day Late
18845,10/3/2015 1:53,6,4,1,Late delivery,2,2+ Days Late
66854,9/2/2017 21:35,5,4,1,Late delivery,1,1 Day Late
46955,11/16/2016 10:04,6,4,1,Late delivery,2,2+ Days Late
55002,3/13/2017 21:18,3,4,0,Advance shipping,-1,On-Time / Early
60445,6/1/2017 8:13,6,4,1,Late delivery,2,2+ Days Late
53586,2/21/2017 5:12,2,4,0,Advance shipping,-2,On-Time / Early
56618,4/6/2017 11:27,4,4,0,Shipping on time,0,On-Time / Early
51865,1/27/2017 2:16,6,4,1,Late delivery,2,2+ Days Late
2937,2/12/2015 20:36,3,4,0,Advance shipping,-1,On-Time / Early
54446,3/5/2017 18:30,2,4,0,Advance shipping,-2,On-Time / Early
58623,5/5/2017 17:53,4,4,0,Shipping on time,0,On-Time / Early
7411,4/19/2015 4:03,2,4,0,Advance shipping,-2,On-Time / Early
5348,3/20/2015 1:17,4,4,0,Shipping on time,0,On-Time / Early
59742,5/22/2017 1:56,3,4,0,Advance shipping,-1,On-Time / Early
59498,5/18/2017 12:26,4,4,0,Shipping on time,0,On-Time / Early
3459,2/20/2015 11:29,5,4,1,Late delivery,1,1 Day Late
8470,5/4/2015 15:04,6,4,1,Late delivery,2,2+ Days Late
53455,2/19/2017 7:19,6,4,1,Late delivery,2,2+ Days Late
2014,1/30/2015 9:14,5,4,1,Late delivery,1,1 Day Late
55899,3/26/2017 23:33,5,4,1,Late delivery,1,1 Day Late
52582,2/6/2017 13:27,3,4,0,Advance shipping,-1,On-Time / Early
56222,3/31/2017 16:43,3,4,0,Advance shipping,-1,On-Time / Early
57829,4/24/2017 3:43,5,4,1,Late delivery,1,1 Day Late
56217,3/31/2017 14:58,3,4,0,Advance shipping,-1,On-Time / Early
5893,3/28/2015 0:13,4,4,0,Shipping on time,0,On-Time / Early
5528,3/22/2015 16:21,4,4,0,Shipping on time,0,On-Time / Early
367,1/6/2015 8:13,3,4,0,Advance shipping,-1,On-Time / Early
52353,2/3/2017 5:14,4,4,0,Shipping on time,0,On-Time / Early
1784,1/27/2015 0:39,5,4,1,Late delivery,1,1 Day Late
60317,5/30/2017 11:22,3,4,0,Advance shipping,-1,On-Time / Early
6776,4/9/2015 21:35,2,4,0,Advance shipping,-2,On-Time / Early
4487,3/7/2015 11:38,3,4,0,Advance shipping,-1,On-Time / Early
9681,5/22/2015 7:20,2,4,0,Advance shipping,-2,On-Time / Early
60868,6/7/2017 12:25,4,4,0,Shipping on time,0,On-Time / Early
53231,2/16/2017 0:50,2,4,0,Advance shipping,-2,On-Time / Early
52601,2/6/2017 20:07,2,4,0,Advance shipping,-2,On-Time / Early
4660,3/10/2015 0:15,6,4,1,Late delivery,2,2+ Days Late
3539,2/21/2015 15:31,5,4,1,Late delivery,1,1 Day Late
54488,3/6/2017 9:13,4,4,0,Shipping on time,0,On-Time / Early
52549,2/6/2017 1:54,5,4,1,Late delivery,1,1 Day Late
60361,5/31/2017 2:47,2,4,0,Advance shipping,-2,On-Time / Early
5712,3/25/2015 8:49,3,4,0,Advance shipping,-1,On-Time / Early
9309,5/16/2015 21:00,5,4,1,Late delivery,1,1 Day Late
8095,4/29/2015 3:41,6,4,1,Late delivery,2,2+ Days Late
75892,1/12/2018 19:59,3,4,0,Advance shipping,-1,On-Time / Early
75891,1/12/2018 19:38,2,4,0,Advance shipping,-2,On-Time / Early
75890,1/12/2018 19:17,6,2,1,Late delivery,4,2+ Days Late
75889,1/12/2018 18:56,5,4,1,Late delivery,1,1 Day Late
75888,1/12/2018 18:35,4,4,0,Shipping on time,0,On-Time / Early
75887,1/12/2018 18:14,3,4,0,Advance shipping,-1,On-Time / Early
75886,1/12/2018 17:53,2,4,0,Shipping canceled,-2,On-Time / Early
75885,1/12/2018 17:32,6,2,1,Late delivery,4,2+ Days Late
75884,1/12/2018 17:11,5,4,1,Late delivery,1,1 Day Late
75883,1/12/2018 16:50,2,1,1,Late delivery,1,1 Day Late
75882,1/12/2018 16:29,3,4,0,Advance shipping,-1,On-Time / Early
75881,1/12/2018 16:08,2,4,0,Advance shipping,-2,On-Time / Early
75880,1/12/2018 15:47,6,4,1,Late delivery,2,2+ Days Late
75879,1/12/2018 15:26,5,4,1,Late delivery,1,1 Day Late
75878,1/12/2018 15:05,4,4,0,Shipping on time,0,On-Time / Early
75877,1/12/2018 14:44,3,4,0,Advance shipping,-1,On-Time / Early
75876,1/12/2018 14:23,2,4,0,Advance shipping,-2,On-Time / Early
75875,1/12/2018 14:02,6,2,1,Late delivery,4,2+ Days Late
75874,1/12/2018 13:41,5,4,1,Late delivery,1,1 Day Late
75873,1/12/2018 13:20,4,4,0,Shipping on time,0,On-Time / Early
75872,1/12/2018 12:59,3,4,0,Advance shipping,-1,On-Time / Early
75871,1/12/2018 12:38,2,1,1,Late delivery,1,1 Day Late
75870,1/12/2018 12:17,2,1,1,Late delivery,1,1 Day Late
75869,1/12/2018 11:56,2,1,1,Late delivery,1,1 Day Late
75868,1/12/2018 11:35,2,1,1,Late delivery,1,1 Day Late
75867,1/12/2018 11:14,0,0,0,Shipping on time,0,On-Time / Early
75866,1/12/2018 10:53,0,0,0,Shipping on time,0,On-Time / Early
75865,1/12/2018 10:32,0,0,0,Shipping on time,0,On-Time / Early
75864,1/12/2018 10:11,5,4,1,Late delivery,1,1 Day Late
75863,1/12/2018 9:50,4,4,0,Shipping on time,0,On-Time / Early
75862,1/12/2018 9:29,3,4,0,Advance shipping,-1,On-Time / Early
75861,1/12/2018 9:08,2,4,0,Advance shipping,-2,On-Time / Early
75860,1/12/2018 8:47,6,4,1,Late delivery,2,2+ Days Late
75859,1/12/2018 8:26,5,4,0,Shipping canceled,1,1 Day Late
75858,1/12/2018 8:05,4,2,1,Late delivery,2,2+ Days Late
75857,1/12/2018 7:44,3,4,0,Advance shipping,-1,On-Time / Early
